epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,17306.8,1.43314,0.83128,0.96277,0.83824,0.71845,0.76581,0.47185,1.23937,0.70863,0.97281,0.001486,0.001486,0.001486
88,17504.4,1.43657,0.83294,0.96426,0.83823,0.71872,0.76609,0.47224,1.23866,0.70832,0.97272,0.001387,0.001387,0.001387
89,17702.5,1.422,0.82194,0.96308,0.83865,0.71871,0.76607,0.4723,1.23833,0.7079,0.97257,0.001288,0.001288,0.001288
90,17901,1.42513,0.82262,0.96447,0.83797,0.71932,0.76626,0.47259,1.23742,0.7073,0.97219,0.001189,0.001189,0.001189
91,18093.7,1.24984,0.73359,0.94939,0.83877,0.71865,0.7663,0.47283,1.23675,0.70688,0.97208,0.00109,0.00109,0.00109
92,18285.5,1.2436,0.72665,0.94666,0.83821,0.71912,0.76632,0.47282,1.23643,0.70644,0.97191,0.000991,0.000991,0.000991
93,18477.8,1.23786,0.72647,0.94524,0.83823,0.71903,0.76626,0.47308,1.23603,0.70638,0.97178,0.000892,0.000892,0.000892
94,18669.2,1.23371,0.72232,0.94664,0.83876,0.71895,0.76661,0.4733,1.23529,0.70582,0.97156,0.000793,0.000793,0.000793
95,18861,1.22762,0.71802,0.94203,0.83886,0.71887,0.76657,0.47352,1.23495,0.70568,0.97145,0.000694,0.000694,0.000694
96,19053.2,1.22366,0.71508,0.94402,0.83851,0.71943,0.76672,0.47368,1.23434,0.70544,0.97132,0.000595,0.000595,0.000595
97,19245.4,1.22556,0.71417,0.94388,0.83885,0.71937,0.76672,0.47393,1.23372,0.70463,0.97119,0.000496,0.000496,0.000496
98,19438.3,1.21873,0.71142,0.94312,0.83909,0.71903,0.76681,0.47397,1.2335,0.7043,0.97107,0.000397,0.000397,0.000397
99,19630.6,1.21466,0.70919,0.94069,0.83839,0.71936,0.7667,0.47424,1.23301,0.70382,0.97107,0.000298,0.000298,0.000298
100,19823,1.21513,0.70939,0.94073,0.8391,0.71908,0.76708,0.47443,1.23256,0.70331,0.97084,0.000199,0.000199,0.000199
